wealth,age,age_when_married,school,upto_class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
1,38,17,0,0,1,1,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0
2,26,13,1,2,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0
3,34,13,1,4,0,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0
2,38,18,1,7,0,1,0,0,1,1,4,1,0,1,0,1,0,0,1,0,0,0,0
1,49,13,1,8,0,1,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,1,0
1,26,13,1,10,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,20,19,1,8,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,30,14,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2,28,14,1,5,1,1,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
3,38,19,1,9,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,42,14,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,0,1,0,0,0
1,18,16,1,3,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,33,16,1,3,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0
1,40,14,1,6,0,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0
4,38,15,0,0,0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
2,31,14,1,8,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,38,20,1,6,1,1,1,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0
1,24,16,1,9,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,24,18,1,5,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2,43,16,0,0,0,1,1,0,1,2,6,0,0,1,1,1,0,0,0,1,0,0,0
1,37,14,0,0,0,1,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0
2,38,13,1,2,0,1,1,0,1,0,6,1,0,0,0,1,0,0,1,0,0,0,0
4,43,14,0,0,0,1,0,0,1,0,5,1,1,0,0,1,0,0,1,0,0,0,0
1,41,14,0,0,0,1,1,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0
2,28,25,1,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,47,16,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
2,36,14,1,3,0,1,0,0,1,2,5,1,0,2,0,1,0,0,0,0,0,1,0
1,16,14,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,24,15,1,2,0,0,0,0,1,1,3,1,0,1,0,1,0,0,0,0,0,1,0
1,24,17,1,9,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,32,17,1,3,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0
3,41,16,1,5,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0
1,44,21,0,0,1,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0
3,28,14,1,10,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,22,20,1,9,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4,24,21,1,12,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,30,18,1,9,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,38,13,1,5,0,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,1,0
