division,domain,wealth,age,age_when_married,school,class,working,newspaper,tv,asha,grameen,mclub,born,any,mmore,more,method,died,birth
1,1,1,38,17,2,,1,,1,1,2,2,2,,2,,1,0,2
1,1,1,35,14,2,,1,,2,2,2,2,4,,,,,0,2
1,1,2,26,13,1,2,2,2,1,1,2,2,2,,2,,1,0,2
1,1,3,34,13,1,4,2,1,1,2,2,2,,,2,,2,0,3
1,1,2,38,18,1,7,2,2,1,2,2,2,,,2,,1,1,4
1,1,1,49,13,1,8,2,2,1,2,2,2,4,,2,,2,1,4
1,1,1,26,13,1,10,2,1,1,1,2,2,,,2,,1,0,2
1,1,2,20,19,1,8,2,2,1,2,2,2,2,,1,,1,0,1
1,1,2,30,14,2,,1,,2,1,2,2,4,,2,,1,0,1
1,1,2,28,14,1,5,1,2,1,1,2,2,,,2,,1,0,3
1,1,3,38,19,1,9,2,2,1,2,2,2,,,2,,1,0,2
1,1,3,17,15,1,10,2,1,1,2,2,2,,1,,,2,0,0
1,1,1,42,14,2,,1,,2,1,2,2,2,,2,,1,0,4
1,1,1,18,16,1,3,2,1,2,1,2,2,,,1,,1,0,1
1,1,1,33,16,1,3,2,2,1,2,2,2,,,8,,2,1,1
1,1,1,42,23,2,,1,,1,2,2,2,,,,,,0,2
1,1,1,40,14,1,6,2,2,2,1,2,2,,,2,,1,0,3
1,1,4,38,15,2,,2,,1,1,2,2,4,,2,,1,0,3
1,1,2,31,14,1,8,2,2,1,2,2,2,4,,1,,2,0,2
1,1,2,38,20,1,6,1,2,1,1,2,2,,,2,,1,0,3
1,1,1,24,16,1,9,2,2,2,2,2,2,4,,1,,1,0,1
1,1,1,24,18,1,5,2,2,1,2,2,2,4,,1,,1,0,1
1,1,2,43,16,2,,2,,1,1,2,2,2,,2,,1,2,6
1,1,1,37,14,2,,2,,1,1,2,2,4,,2,,1,0,3
1,1,2,38,13,1,2,2,2,1,1,2,2,,,2,,1,0,6
1,1,4,43,14,2,,2,,1,2,1,2,,,2,,1,0,5
1,1,1,41,14,2,,2,,1,1,2,2,4,,2,,1,0,4
1,1,2,28,25,1,3,2,2,1,2,1,2,4,,2,,1,0,1
1,1,1,26,18,1,5,2,2,1,1,2,2,,,,,,0,1
1,1,1,47,16,2,,2,,1,2,2,2,4,,2,,2,0,1
1,1,2,36,14,1,3,2,2,1,2,2,2,4,,2,,1,2,5
1,1,2,,,,,,,,,,,,,,,,0,
1,1,1,16,14,2,,2,,2,2,2,2,,,2,,1,0,1
1,1,1,24,15,1,2,2,2,2,2,2,2,4,,2,,1,1,3
1,1,1,24,17,1,9,2,1,1,1,2,2,4,,1,,1,0,1
1,1,2,,,,,,,,,,,,,,,,0,
1,1,1,32,17,1,3,2,2,1,2,2,2,2,,8,,2,0,3
1,1,3,43,14,1,5,2,2,1,2,2,2,,,,,,0,3
1,1,3,41,16,1,5,2,2,1,2,2,2,4,,2,,2,0,2
1,1,4,28,24,1,16,2,1,1,2,2,2,3,1,,,1,0,0
1,1,1,44,21,2,,1,,1,2,2,2,4,,2,,1,0,2
1,1,3,28,14,1,10,2,1,1,2,2,2,,,2,,1,0,2
