wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
1,38.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,2.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0
2,26.0,13.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3,34.0,13.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
2,38.0,18.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,1,4.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0
1,49.0,13.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1,4.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
1,26.0,13.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,20.0,19.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
2,30.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,28.0,14.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,38.0,19.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,42.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0
1,18.0,16.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,33.0,16.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0
1,40.0,14.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
4,38.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,31.0,14.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,38.0,20.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,24.0,16.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,24.0,18.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,43.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2,6.0,0.0,0.0,1.0,1.0,1,0,0,0,1,0,0,0
