@relation birth_stat_data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute wealth numeric
@attribute age numeric
@attribute age_when_married numeric
@attribute school numeric
@attribute class numeric
@attribute working numeric
@attribute tv numeric
@attribute asha numeric
@attribute want_child numeric
@attribute method numeric
@attribute died numeric
@attribute birth numeric
@attribute first_child_gender numeric
@attribute children_away numeric
@attribute boys_died numeric
@attribute girls_died numeric
@attribute domain_1 numeric
@attribute domain_2 numeric
@attribute domain_3 numeric
@attribute born_place_1.0 numeric
@attribute born_place_2.0 numeric
@attribute born_place_3.0 numeric
@attribute born_place_4.0 numeric
@attribute born_place_9.0 numeric

@data
0,0.685714,0.333333,0,0,1,1,1,0,1,0,0.071429,0,1,0,0,1,0,0,0,1,0,0,0
0.25,0.342857,0.185185,1,0.111111,0,1,1,0,1,0,0.071429,1,0,0,0,1,0,0,0,1,0,0,0
0.5,0.571429,0.185185,1,0.222222,0,1,0,0,0,0,0.142857,0,1,0,0,1,0,0,1,0,0,0,0
0.25,0.685714,0.37037,1,0.388889,0,1,0,0,1,0.090909,0.214286,1,0,0.142857,0,1,0,0,1,0,0,0,0
0,1,0.185185,1,0.444444,0,1,0,0,0,0.090909,0.214286,1,1,0.142857,0,1,0,0,0,0,0,1,0
0,0.342857,0.185185,1,0.555556,0,1,1,0,1,0,0.071429,0,0,0,0,1,0,0,1,0,0,0,0
0.25,0.171429,0.407407,1,0.444444,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.25,0.457143,0.222222,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.4,0.222222,1,0.277778,1,1,1,0,1,0,0.142857,0,0,0,0,1,0,0,1,0,0,0,0
0.5,0.685714,0.407407,1,0.5,0,1,0,0,1,0,0.071429,0,0,0,0,1,0,0,1,0,0,0,0
0,0.8,0.222222,0,0,1,0,1,0,1,0,0.214286,0,1,0,0,1,0,0,0,1,0,0,0
0,0.114286,0.296296,1,0.166667,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0.542857,0.296296,1,0.166667,0,1,0,0,0,0.090909,0,1,0,0.142857,0,1,0,0,1,0,0,0,0
0,0.742857,0.222222,1,0.333333,0,0,1,0,1,0,0.142857,0,1,0,0,1,0,0,1,0,0,0,0
0.75,0.685714,0.259259,0,0,0,1,1,0,1,0,0.142857,0,0,0,0,1,0,0,0,0,0,1,0
0.25,0.485714,0.222222,1,0.444444,0,1,0,1,0,0,0.071429,0,0,0,0,1,0,0,0,0,0,1,0
0.25,0.685714,0.444444,1,0.333333,1,1,1,0,1,0,0.142857,0,1,0,0,1,0,0,1,0,0,0,0
0,0.285714,0.296296,1,0.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.285714,0.37037,1,0.277778,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.828571,0.296296,0,0,0,1,1,0,1,0.181818,0.357143,0,0,0.142857,0.2,1,0,0,0,1,0,0,0
